"exp","group","ME","SE","CI_lo","CI_hi","ME_pct","CI_lo_pct","CI_hi_pct"
0,"Nam",-0.14173,0.03332,-0.20704,-0.07642,-13.21428,-18.70116,-7.35708
1,"Nam",-0.14522,0.03098,-0.20594,-0.0845,-13.5168,-18.61211,-8.10249
2,"Nam",-0.14871,0.02876,-0.20507,-0.09235,-13.81826,-18.54131,-8.82137
3,"Nam",-0.1522,0.02667,-0.20449,-0.09992,-14.11868,-18.49342,-9.50913
4,"Nam",-0.1557,0.02477,-0.20425,-0.10714,-14.41804,-18.47427,-10.16
5,"Nam",-0.15919,0.0231,-0.20446,-0.11392,-14.71637,-18.491,-10.76694
6,"Nam",-0.16268,0.0217,-0.2052,-0.12015,-15.01365,-18.5519,-11.3217
7,"Nam",-0.16617,0.02063,-0.2066,-0.12574,-15.3099,-18.66587,-11.81546
8,"Nam",-0.16966,0.01995,-0.20876,-0.13056,-15.60512,-18.8412,-12.24
9,"Nam",-0.17316,0.01969,-0.21176,-0.13455,-15.8993,-19.08385,-12.58942
10,"Nam",-0.17665,0.01988,-0.21562,-0.13767,-16.19246,-19.39581,-12.86181
11,"Nam",-0.18014,0.0205,-0.22033,-0.13995,-16.4846,-19.77433,-13.05997
12,"Nam",-0.18363,0.02152,-0.22581,-0.14146,-16.77572,-20.21265,-13.19074
13,"Nam",-0.18712,0.02287,-0.23195,-0.14229,-17.06583,-20.70164,-13.26331
14,"Nam",-0.19061,0.02451,-0.23866,-0.14257,-17.35492,-21.23162,-13.28743
15,"Nam",-0.19411,0.02638,-0.24582,-0.1424,-17.64301,-21.79358,-13.27215
16,"Nam",-0.1976,0.02844,-0.25334,-0.14185,-17.93009,-22.37985,-13.22524
17,"Nam",-0.20109,0.03065,-0.26116,-0.14102,-18.21617,-22.98415,-13.15301
18,"Nam",-0.20458,0.03297,-0.26921,-0.13996,-18.50125,-23.60154,-13.06048
19,"Nam",-0.20807,0.03539,-0.27744,-0.13871,-18.78535,-24.22814,-12.95159
20,"Nam",-0.21157,0.03789,-0.28583,-0.1373,-19.06845,-24.86096,-12.82939
21,"Nam",-0.21506,0.04045,-0.29434,-0.13578,-19.35056,-25.49767,-12.69626
22,"Nam",-0.21855,0.04306,-0.30295,-0.13415,-19.63169,-26.13646,-12.55408
23,"Nam",-0.22204,0.04572,-0.31165,-0.13244,-19.91184,-26.77591,-12.40433
24,"Nam",-0.22553,0.04841,-0.32041,-0.13066,-20.19101,-27.4149,-12.24818
